species  sample
ALB  CA1_CA1_CA1_CA1_CA1_CA1_CA1_CA1
ALB  CA3_CA3_CA3_CA3_CA3_CA3_CA3_CA3
WA  B60420_B60420_B60420_B60420_B60420_B60420_B60420_B60420
WA  B50845_B50845_B50845_B50845_B50845_B50845_B50845_B50845
WA  B60554_B60554_B60554_B60554_B60554_B60554_B60554_B60554
MVI  B48582_B48582_B48582_B48582_B48582_B48582_B48582_B48582
MVI  B48686_B48686_B48686_B48686_B48686_B48686_B48686_B48686
MVI  B48687_B48687_B48687_B48687_B48687_B48687_B48687_B48687
NT  B33707_B33707_B33707_B33707_B33707_B33707_B33707_B33707
NT  B54657_B54657_B54657_B54657_B54657_B54657_B54657_B54657
NT  B51063_B51063_B51063_B51063_B51063_B51063_B51063_B51063
SNG  B56304_B56304_B56304_B56304_B56304_B56304_B56304_B56304
SNG  B56139_B56139_B56139_B56139_B56139_B56139_B56139_B56139
SNG  B56137_B56137_B56137_B56137_B56137_B56137_B56137_B56137
CYP  B57146_B57146_B57146_B57146_B57146_B57146_B57146_B57146
CYP  B51669_B51669_B51669_B51669_B51669_B51669_B51669_B51669
CYP  B42871_B42871_B42871_B42871_B42871_B42871_B42871_B42871
CYP  B42904_B42904_B42904_B42904_B42904_B42904_B42904_B42904
QL  B43425_B43425_B43425_B43425_B43425_B43425_B43425_B43425
QL  B43561_B43561_B43561_B43561_B43561_B43561_B43561_B43561
QL  B43391_B43391_B43391_B43391_B43391_B43391_B43391_B43391
NSW  B34879_B34879_B34879_B34879_B34879_B34879_B34879_B34879
NSW  B54897_B54897_B54897_B54897_B54897_B54897_B54897_B54897
NSW  B54826_B54826_B54826_B54826_B54826_B54826_B54826_B54826
NSW  B29233_B29233_B29233_B29233_B29233_B29233_B29233_B29233
ACT  B53291_B53291_B53291_B53291_B53291_B53291_B53291_B53291
ACT  B53583_B53583_B53583_B53583_B53583_B53583_B53583_B53583
ACT  B59459_B59459_B59459_B59459_B59459_B59459_B59459_B59459
VIC  B45009_B45009_B45009_B45009_B45009_B45009_B45009_B45009
VIC  B45010_B45010_B45010_B45010_B45010_B45010_B45010_B45010
VIC  B45033_B45033_B45033_B45033_B45033_B45033_B45033_B45033
SA  B53844_B53844_B53844_B53844_B53844_B53844_B53844_B53844
SA  B53845_B53845_B53845_B53845_B53845_B53845_B53845_B53845
TAS  B45517_B45517_B45517_B45517_B45517_B45517_B45517_B45517
TAS  B45516_B45516_B45516_B45516_B45516_B45516_B45516_B45516
TAS  B49784_B49784_B49784_B49784_B49784_B49784_B49784_B49784
